Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
268.389972,64.94264458,25.56965528,42.51566786,1.309999943,245.1000061,3.790092468,2.5
269.3892321,64.94263927,25.56962949,42.81980478,1.340000033,242.6000061,3.790092468,2.5
270.3908946,64.94263368,25.5696046,42.89817226,1.330000043,240.1000061,3.790092468,2.5
271.3898858,64.94262838,25.56957875,43.0597921,1.450000048,239.8000031,3.790092468,2.5
272.3880135,64.94262395,25.56955496,42.56424694,1.379999995,244.3000031,3.790092468,2.5
273.3902784,64.9426191,25.56953059,42.48081085,1.330000043,244.3999939,3.790092468,2.5
274.3913237,64.9426138,25.5695078,42.91342634,1.379999995,240.1000061,3.790092468,2.5
275.3904434,64.94260813,25.56948166,42.30917674,1.350000024,243.0,3.790092468,2.5
276.3919424,64.94260204,25.5694565,41.98483383,1.320000052,243.1999969,3.790092468,2.5
277.3910566,64.94259596,25.56942539,41.20846543,1.450000048,248.6999969,3.790092468,2.5
278.3867283,64.94258948,25.56939681,40.94766024,1.399999976,241.5,3.790092468,2.5
279.3872868,64.94258329,25.56936831,40.43081284,1.370000005,242.6000061,3.790092468,2.5
280.390688,64.94257716,25.56934295,40.72408467,1.309999943,245.3000031,3.790092468,2.5
281.3973501,64.94257082,25.56931744,40.81746618,1.370000005,243.0,3.790092468,2.5
282.3902785,64.94256419,25.56928998,40.63643365,1.379999995,239.3999939,3.790092468,2.5
283.390528,64.9425573,25.5692583,39.42195421,1.440000057,241.1999969,3.790092468,2.5
284.3887171,64.94255207,25.5692284,38.80482715,1.389999986,246.6999969,3.790092468,2.5
285.3906156,64.94254656,25.56920091,38.63545338,1.370000005,242.8999939,3.790092468,2.5
286.3903175,64.94254197,25.56917476,38.53871213,1.360000014,246.3000031,3.790092468,2.5
287.3908447,64.94253804,25.56914655,37.97163487,1.370000005,249.5,3.790092468,2.5
288.3911724,64.94253495,25.56911797,37.36982946,1.379999995,255.1999969,3.790092468,2.5
289.3907041,64.94253089,25.56908789,37.19435392,1.440000057,248.5,3.790092468,2.5
290.3905437,64.94252748,25.56906048,36.9475285,1.330000043,256.7999878,3.790092468,2.5
291.3874247,64.94252511,25.56903622,37.07069873,1.389999986,250.1000061,3.790092468,2.5
292.3910819,64.94252149,25.56901012,36.62080896,1.409999967,253.8000031,3.790092468,2.5
